Area,Item,Year,Unit,Value
Spain,Olive Oil,2010,kcal/capita/day,271.19
Spain,Olive Oil,2011,kcal/capita/day,267.5
Spain,Olive Oil,2012,kcal/capita/day,263.11
Spain,Olive Oil,2013,kcal/capita/day,264.61
Spain,Olive Oil,2014,kcal/capita/day,263.52
Spain,Olive Oil,2015,kcal/capita/day,263.13
Spain,Olive Oil,2016,kcal/capita/day,261.99
Spain,Olive Oil,2017,kcal/capita/day,266.6
Spain,Olive Oil,2018,kcal/capita/day,274.69
Spain,Olive Oil,2019,kcal/capita/day,274.76
Spain,Olive Oil,2020,kcal/capita/day,277.82
Spain,Maize Germ Oil,2010,kcal/capita/day,7.68
Spain,Maize Germ Oil,2011,kcal/capita/day,11.9
Spain,Maize Germ Oil,2012,kcal/capita/day,12.27
Spain,Maize Germ Oil,2013,kcal/capita/day,13
Spain,Maize Germ Oil,2014,kcal/capita/day,14.09
Spain,Maize Germ Oil,2015,kcal/capita/day,17.12
Spain,Maize Germ Oil,2016,kcal/capita/day,11
Spain,Maize Germ Oil,2017,kcal/capita/day,20.45
Spain,Maize Germ Oil,2018,kcal/capita/day,16.39
Spain,Maize Germ Oil,2019,kcal/capita/day,12.96
Spain,Maize Germ Oil,2020,kcal/capita/day,22.83
Spain,"Oilcrops Oil, Other",2010,kcal/capita/day,34.57
Spain,"Oilcrops Oil, Other",2011,kcal/capita/day,37.05
Spain,"Oilcrops Oil, Other",2012,kcal/capita/day,35.19
Spain,"Oilcrops Oil, Other",2013,kcal/capita/day,35.86
Spain,"Oilcrops Oil, Other",2014,kcal/capita/day,35.74
Spain,"Oilcrops Oil, Other",2015,kcal/capita/day,35.89
Spain,"Oilcrops Oil, Other",2016,kcal/capita/day,36.41
Spain,"Oilcrops Oil, Other",2017,kcal/capita/day,36.77
Spain,"Oilcrops Oil, Other",2018,kcal/capita/day,47.23
Spain,"Oilcrops Oil, Other",2019,kcal/capita/day,63.24
Spain,"Oilcrops Oil, Other",2020,kcal/capita/day,71.64
Switzerland,"Oilcrops, Other",2010,kcal/capita/day,0.23
Switzerland,"Oilcrops, Other",2011,kcal/capita/day,0.21
Switzerland,"Oilcrops, Other",2012,kcal/capita/day,0.27
Switzerland,"Oilcrops, Other",2013,kcal/capita/day,0.22
Switzerland,"Oilcrops, Other",2014,kcal/capita/day,0.24
Switzerland,"Oilcrops, Other",2015,kcal/capita/day,0.22
Switzerland,"Oilcrops, Other",2016,kcal/capita/day,0.19
Switzerland,"Oilcrops, Other",2017,kcal/capita/day,0.18
Switzerland,"Oilcrops, Other",2018,kcal/capita/day,0.19
Switzerland,"Oilcrops, Other",2019,kcal/capita/day,0.17
Switzerland,"Oilcrops, Other",2020,kcal/capita/day,0.18
Switzerland,Soyabean Oil,2010,kcal/capita/day,25.43
Switzerland,Soyabean Oil,2011,kcal/capita/day,27.98
Switzerland,Soyabean Oil,2012,kcal/capita/day,24.8
Switzerland,Soyabean Oil,2013,kcal/capita/day,21.78
Switzerland,Soyabean Oil,2014,kcal/capita/day,20.8
Switzerland,Soyabean Oil,2015,kcal/capita/day,20.93
Switzerland,Soyabean Oil,2016,kcal/capita/day,20.86
Switzerland,Soyabean Oil,2017,kcal/capita/day,21.44
Switzerland,Soyabean Oil,2018,kcal/capita/day,22.77
Switzerland,Soyabean Oil,2019,kcal/capita/day,23.04
Switzerland,Soyabean Oil,2020,kcal/capita/day,26.71
Switzerland,Groundnut Oil,2010,kcal/capita/day,20.73
Switzerland,Groundnut Oil,2011,kcal/capita/day,18.94
Switzerland,Groundnut Oil,2012,kcal/capita/day,14.59
Switzerland,Groundnut Oil,2013,kcal/capita/day,26.2
Switzerland,Groundnut Oil,2014,kcal/capita/day,14.44
Switzerland,Groundnut Oil,2015,kcal/capita/day,18.92
Switzerland,Groundnut Oil,2016,kcal/capita/day,19.95
Switzerland,Groundnut Oil,2017,kcal/capita/day,19.97
Switzerland,Groundnut Oil,2018,kcal/capita/day,19.92
Switzerland,Groundnut Oil,2019,kcal/capita/day,22.74
Switzerland,Groundnut Oil,2020,kcal/capita/day,12.96
Switzerland,Sunflowerseed Oil,2010,kcal/capita/day,133.2
Switzerland,Sunflowerseed Oil,2011,kcal/capita/day,147.61
Switzerland,Sunflowerseed Oil,2012,kcal/capita/day,140.52
Switzerland,Sunflowerseed Oil,2013,kcal/capita/day,124.27
Switzerland,Sunflowerseed Oil,2014,kcal/capita/day,137.44
Switzerland,Sunflowerseed Oil,2015,kcal/capita/day,137.45
Switzerland,Sunflowerseed Oil,2016,kcal/capita/day,137.51
Switzerland,Sunflowerseed Oil,2017,kcal/capita/day,137.61
Switzerland,Sunflowerseed Oil,2018,kcal/capita/day,138.2
Switzerland,Sunflowerseed Oil,2019,kcal/capita/day,136.34
Switzerland,Sunflowerseed Oil,2020,kcal/capita/day,134.57
Switzerland,Rape and Mustard Oil,2010,kcal/capita/day,94.45
Switzerland,Rape and Mustard Oil,2011,kcal/capita/day,101.72
Switzerland,Rape and Mustard Oil,2012,kcal/capita/day,94.45
Switzerland,Rape and Mustard Oil,2013,kcal/capita/day,106.56
Switzerland,Rape and Mustard Oil,2014,kcal/capita/day,104.32
Switzerland,Rape and Mustard Oil,2015,kcal/capita/day,124.91
Switzerland,Rape and Mustard Oil,2016,kcal/capita/day,113.91
Switzerland,Rape and Mustard Oil,2017,kcal/capita/day,114.93
Switzerland,Rape and Mustard Oil,2018,kcal/capita/day,109.24
Switzerland,Rape and Mustard Oil,2019,kcal/capita/day,111.64
Switzerland,Rape and Mustard Oil,2020,kcal/capita/day,121.33
Switzerland,Cottonseed Oil,2010,kcal/capita/day,0
Switzerland,Cottonseed Oil,2011,kcal/capita/day,0
Switzerland,Cottonseed Oil,2012,kcal/capita/day,0.01
Switzerland,Cottonseed Oil,2013,kcal/capita/day,0.19
Switzerland,Cottonseed Oil,2014,kcal/capita/day,0
Switzerland,Cottonseed Oil,2015,kcal/capita/day,0
Switzerland,Cottonseed Oil,2016,kcal/capita/day,0.02
Switzerland,Cottonseed Oil,2017,kcal/capita/day,0.03
Switzerland,Cottonseed Oil,2018,kcal/capita/day,0.07
Switzerland,Cottonseed Oil,2019,kcal/capita/day,0.04
Switzerland,Cottonseed Oil,2020,kcal/capita/day,0.01
Switzerland,Palmkernel Oil,2014,kcal/capita/day,0.03
Switzerland,Palmkernel Oil,2019,kcal/capita/day,7.57
Switzerland,Palmkernel Oil,2020,kcal/capita/day,5.09
Switzerland,Coconut Oil,2010,kcal/capita/day,23.58
Switzerland,Coconut Oil,2011,kcal/capita/day,19.83
Switzerland,Coconut Oil,2012,kcal/capita/day,20.77
Switzerland,Coconut Oil,2013,kcal/capita/day,21.99
Switzerland,Coconut Oil,2014,kcal/capita/day,20.12
Switzerland,Coconut Oil,2015,kcal/capita/day,21.51
Switzerland,Coconut Oil,2016,kcal/capita/day,18.31
Switzerland,Coconut Oil,2017,kcal/capita/day,23.88
Switzerland,Coconut Oil,2018,kcal/capita/day,24.7
Switzerland,Coconut Oil,2019,kcal/capita/day,25.35
Switzerland,Coconut Oil,2020,kcal/capita/day,22.31
Switzerland,Sesameseed Oil,2010,kcal/capita/day,0.86
Switzerland,Sesameseed Oil,2011,kcal/capita/day,1.17
Switzerland,Sesameseed Oil,2012,kcal/capita/day,1.3
Switzerland,Sesameseed Oil,2013,kcal/capita/day,1.18
Switzerland,Sesameseed Oil,2014,kcal/capita/day,1.21
Switzerland,Sesameseed Oil,2015,kcal/capita/day,1.21
Switzerland,Sesameseed Oil,2016,kcal/capita/day,1.21
Switzerland,Sesameseed Oil,2017,kcal/capita/day,1.21
Switzerland,Sesameseed Oil,2018,kcal/capita/day,1.22
Switzerland,Sesameseed Oil,2019,kcal/capita/day,1.41
Switzerland,Sesameseed Oil,2020,kcal/capita/day,1.41
Switzerland,Olive Oil,2010,kcal/capita/day,40.75
Switzerland,Olive Oil,2011,kcal/capita/day,39.92
Switzerland,Olive Oil,2012,kcal/capita/day,41.87
Switzerland,Olive Oil,2013,kcal/capita/day,41.2
Switzerland,Olive Oil,2014,kcal/capita/day,41.98
Switzerland,Olive Oil,2015,kcal/capita/day,40.71
Switzerland,Olive Oil,2016,kcal/capita/day,42.63
Switzerland,Olive Oil,2017,kcal/capita/day,41.43
Switzerland,Olive Oil,2018,kcal/capita/day,41.78
Switzerland,Olive Oil,2019,kcal/capita/day,42.73
Switzerland,Olive Oil,2020,kcal/capita/day,53.19
Switzerland,"Oilcrops Oil, Other",2010,kcal/capita/day,113.71
Switzerland,"Oilcrops Oil, Other",2011,kcal/capita/day,110.65
Switzerland,"Oilcrops Oil, Other",2012,kcal/capita/day,109.78
Switzerland,"Oilcrops Oil, Other",2013,kcal/capita/day,105.9
Switzerland,"Oilcrops Oil, Other",2014,kcal/capita/day,108.8
Switzerland,"Oilcrops Oil, Other",2015,kcal/capita/day,108.81
Switzerland,"Oilcrops Oil, Other",2016,kcal/capita/day,108.55
Switzerland,"Oilcrops Oil, Other",2017,kcal/capita/day,97.17
Switzerland,"Oilcrops Oil, Other",2018,kcal/capita/day,131.95
Switzerland,"Oilcrops Oil, Other",2019,kcal/capita/day,152.46
Switzerland,"Oilcrops Oil, Other",2020,kcal/capita/day,138.47
Thailand,"Oilcrops, Other",2010,kcal/capita/day,0.17
Thailand,"Oilcrops, Other",2011,kcal/capita/day,0.2
Thailand,"Oilcrops, Other",2012,kcal/capita/day,0.12
Thailand,"Oilcrops, Other",2013,kcal/capita/day,0.11
Thailand,"Oilcrops, Other",2014,kcal/capita/day,0.11
Thailand,"Oilcrops, Other",2015,kcal/capita/day,0.09
Thailand,"Oilcrops, Other",2016,kcal/capita/day,0.21
Thailand,"Oilcrops, Other",2017,kcal/capita/day,0.16
Thailand,"Oilcrops, Other",2020,kcal/capita/day,0.01
Thailand,Soyabean Oil,2010,kcal/capita/day,64.09
Thailand,Soyabean Oil,2011,kcal/capita/day,83.4
Thailand,Soyabean Oil,2012,kcal/capita/day,67.66
Thailand,Soyabean Oil,2013,kcal/capita/day,52.98
Thailand,Soyabean Oil,2014,kcal/capita/day,80.73
Thailand,Soyabean Oil,2015,kcal/capita/day,92.35
Thailand,Soyabean Oil,2016,kcal/capita/day,123.85
Thailand,Soyabean Oil,2017,kcal/capita/day,136.76
Thailand,Soyabean Oil,2018,kcal/capita/day,104.23
Thailand,Soyabean Oil,2019,kcal/capita/day,113.48
Thailand,Soyabean Oil,2020,kcal/capita/day,131.62
Thailand,Groundnut Oil,2010,kcal/capita/day,7.6
Thailand,Groundnut Oil,2011,kcal/capita/day,7.61
Thailand,Groundnut Oil,2012,kcal/capita/day,7.77
Thailand,Groundnut Oil,2013,kcal/capita/day,7.82
Thailand,Groundnut Oil,2014,kcal/capita/day,7.82
Thailand,Groundnut Oil,2015,kcal/capita/day,7.88
Thailand,Groundnut Oil,2016,kcal/capita/day,7.97
Thailand,Groundnut Oil,2017,kcal/capita/day,8.05
Thailand,Groundnut Oil,2018,kcal/capita/day,8.15
Thailand,Groundnut Oil,2019,kcal/capita/day,7.58
Thailand,Groundnut Oil,2020,kcal/capita/day,7.71
Thailand,Sunflowerseed Oil,2010,kcal/capita/day,8.81
Thailand,Sunflowerseed Oil,2011,kcal/capita/day,8.82
Thailand,Sunflowerseed Oil,2012,kcal/capita/day,9.64
Thailand,Sunflowerseed Oil,2013,kcal/capita/day,9.08
Thailand,Sunflowerseed Oil,2014,kcal/capita/day,9.07
Thailand,Sunflowerseed Oil,2015,kcal/capita/day,9.14
Thailand,Sunflowerseed Oil,2016,kcal/capita/day,9.24
Thailand,Sunflowerseed Oil,2017,kcal/capita/day,9.34
Thailand,Sunflowerseed Oil,2018,kcal/capita/day,9.45
Thailand,Sunflowerseed Oil,2019,kcal/capita/day,9.54
Thailand,Sunflowerseed Oil,2020,kcal/capita/day,9.35
Thailand,Cottonseed Oil,2010,kcal/capita/day,0.09
Thailand,Cottonseed Oil,2011,kcal/capita/day,0.07
Thailand,Cottonseed Oil,2012,kcal/capita/day,0.09
Thailand,Cottonseed Oil,2013,kcal/capita/day,0.09
Thailand,Cottonseed Oil,2014,kcal/capita/day,0.1
Thailand,Cottonseed Oil,2015,kcal/capita/day,0.1
Thailand,Cottonseed Oil,2016,kcal/capita/day,0.07
Thailand,Cottonseed Oil,2017,kcal/capita/day,0.08
Thailand,Cottonseed Oil,2018,kcal/capita/day,0.08
Thailand,Cottonseed Oil,2019,kcal/capita/day,0.07
Thailand,Cottonseed Oil,2020,kcal/capita/day,0.07
Thailand,Palmkernel Oil,2010,kcal/capita/day,1.05
Thailand,Palmkernel Oil,2011,kcal/capita/day,1.52
Thailand,Palmkernel Oil,2012,kcal/capita/day,1.72
Thailand,Palmkernel Oil,2013,kcal/capita/day,2.02
Thailand,Palmkernel Oil,2014,kcal/capita/day,2.06
Thailand,Palmkernel Oil,2015,kcal/capita/day,2.05
Thailand,Palmkernel Oil,2016,kcal/capita/day,2.05
Thailand,Palmkernel Oil,2017,kcal/capita/day,2.08
Thailand,Palmkernel Oil,2018,kcal/capita/day,2.12
Thailand,Palmkernel Oil,2019,kcal/capita/day,2.84
Thailand,Palmkernel Oil,2020,kcal/capita/day,2.91
Thailand,Palm Oil,2010,kcal/capita/day,65.41
Thailand,Palm Oil,2011,kcal/capita/day,65.33
Thailand,Palm Oil,2012,kcal/capita/day,65.39
Thailand,Palm Oil,2013,kcal/capita/day,65.34
Thailand,Palm Oil,2014,kcal/capita/day,65.14
Thailand,Palm Oil,2015,kcal/capita/day,83.09
Thailand,Palm Oil,2016,kcal/capita/day,60.63
Thailand,Palm Oil,2017,kcal/capita/day,82.25
Thailand,Palm Oil,2018,kcal/capita/day,80.4
Thailand,Palm Oil,2019,kcal/capita/day,106.77
Thailand,Palm Oil,2020,kcal/capita/day,96.33
Thailand,Coconut Oil,2010,kcal/capita/day,16.93
Thailand,Coconut Oil,2011,kcal/capita/day,14.42
Thailand,Coconut Oil,2012,kcal/capita/day,11.95
Thailand,Coconut Oil,2013,kcal/capita/day,10.61
Thailand,Coconut Oil,2014,kcal/capita/day,10.93
Thailand,Coconut Oil,2015,kcal/capita/day,10.66
Thailand,Coconut Oil,2016,kcal/capita/day,10.64
Thailand,Coconut Oil,2017,kcal/capita/day,11.27
Thailand,Coconut Oil,2018,kcal/capita/day,10.6
Thailand,Coconut Oil,2019,kcal/capita/day,10.8
Thailand,Coconut Oil,2020,kcal/capita/day,11.65
Thailand,Sesameseed Oil,2010,kcal/capita/day,2.65
Thailand,Sesameseed Oil,2011,kcal/capita/day,2.17
Thailand,Sesameseed Oil,2012,kcal/capita/day,2.21
Thailand,Sesameseed Oil,2013,kcal/capita/day,2.23
Thailand,Sesameseed Oil,2014,kcal/capita/day,3.1
Thailand,Sesameseed Oil,2015,kcal/capita/day,1.83
Thailand,Sesameseed Oil,2016,kcal/capita/day,1.82
Thailand,Sesameseed Oil,2017,kcal/capita/day,1.85
Thailand,Sesameseed Oil,2018,kcal/capita/day,1.79
Thailand,Sesameseed Oil,2019,kcal/capita/day,1.86
Thailand,Sesameseed Oil,2020,kcal/capita/day,1.85
Thailand,Olive Oil,2010,kcal/capita/day,1.45
Thailand,Olive Oil,2011,kcal/capita/day,1.44
Thailand,Olive Oil,2012,kcal/capita/day,1.49
Thailand,Olive Oil,2013,kcal/capita/day,1.51
Thailand,Olive Oil,2014,kcal/capita/day,1.5
Thailand,Olive Oil,2015,kcal/capita/day,1.51
Thailand,Olive Oil,2016,kcal/capita/day,1.56
Thailand,Olive Oil,2017,kcal/capita/day,1.58
Thailand,Olive Oil,2018,kcal/capita/day,1.61
Thailand,Olive Oil,2019,kcal/capita/day,1.69
Thailand,Olive Oil,2020,kcal/capita/day,1.61
Thailand,Ricebran Oil,2010,kcal/capita/day,6.04
Thailand,Ricebran Oil,2011,kcal/capita/day,8.26
Thailand,Ricebran Oil,2012,kcal/capita/day,8.87
Thailand,Ricebran Oil,2013,kcal/capita/day,7.39
Thailand,Ricebran Oil,2014,kcal/capita/day,2.5
Thailand,Ricebran Oil,2015,kcal/capita/day,0.88
Thailand,Ricebran Oil,2016,kcal/capita/day,4.46
Thailand,Ricebran Oil,2017,kcal/capita/day,5.85
Thailand,Ricebran Oil,2018,kcal/capita/day,2.69
Thailand,Ricebran Oil,2019,kcal/capita/day,2.73
Thailand,Ricebran Oil,2020,kcal/capita/day,3.86
Thailand,Maize Germ Oil,2010,kcal/capita/day,0.01
Thailand,Maize Germ Oil,2011,kcal/capita/day,0.05
Thailand,Maize Germ Oil,2012,kcal/capita/day,0.05
Thailand,Maize Germ Oil,2013,kcal/capita/day,0.05
Thailand,Maize Germ Oil,2014,kcal/capita/day,0.05
Thailand,Maize Germ Oil,2015,kcal/capita/day,0.05
Thailand,Maize Germ Oil,2016,kcal/capita/day,0.05
Thailand,Maize Germ Oil,2017,kcal/capita/day,0.05
Thailand,Maize Germ Oil,2018,kcal/capita/day,0.2
Thailand,Maize Germ Oil,2019,kcal/capita/day,0.14
Thailand,Maize Germ Oil,2020,kcal/capita/day,0.16
Thailand,"Oilcrops Oil, Other",2010,kcal/capita/day,0.1
Thailand,"Oilcrops Oil, Other",2011,kcal/capita/day,0.05
Thailand,"Oilcrops Oil, Other",2012,kcal/capita/day,0.04
Thailand,"Oilcrops Oil, Other",2013,kcal/capita/day,0.03
Thailand,"Oilcrops Oil, Other",2014,kcal/capita/day,0.03
Thailand,"Oilcrops Oil, Other",2015,kcal/capita/day,0.03
Thailand,"Oilcrops Oil, Other",2016,kcal/capita/day,5.96
Thailand,"Oilcrops Oil, Other",2017,kcal/capita/day,0.02
Thailand,"Oilcrops Oil, Other",2018,kcal/capita/day,6.09
Thailand,"Oilcrops Oil, Other",2019,kcal/capita/day,0.37
Thailand,"Oilcrops Oil, Other",2020,kcal/capita/day,0.35
United States of America,"Oilcrops, Other",2010,kcal/capita/day,0.2
United States of America,"Oilcrops, Other",2011,kcal/capita/day,0.16
United States of America,"Oilcrops, Other",2012,kcal/capita/day,0.19
United States of America,"Oilcrops, Other",2013,kcal/capita/day,0.29
United States of America,"Oilcrops, Other",2014,kcal/capita/day,0.19
United States of America,"Oilcrops, Other",2015,kcal/capita/day,0.19
United States of America,"Oilcrops, Other",2016,kcal/capita/day,0.19
United States of America,"Oilcrops, Other",2017,kcal/capita/day,0.19
United States of America,"Oilcrops, Other",2018,kcal/capita/day,0.19
United States of America,"Oilcrops, Other",2019,kcal/capita/day,0.19
United States of America,"Oilcrops, Other",2020,kcal/capita/day,0.15
United States of America,Soyabean Oil,2010,kcal/capita/day,511.69
United States of America,Soyabean Oil,2011,kcal/capita/day,528.44
United States of America,Soyabean Oil,2012,kcal/capita/day,529.18
United States of America,Soyabean Oil,2013,kcal/capita/day,528.08
United States of America,Soyabean Oil,2014,kcal/capita/day,529.33
United States of America,Soyabean Oil,2015,kcal/capita/day,527.56
United States of America,Soyabean Oil,2016,kcal/capita/day,527.49
United States of America,Soyabean Oil,2017,kcal/capita/day,532.01
United States of America,Soyabean Oil,2018,kcal/capita/day,539.23
United States of America,Soyabean Oil,2019,kcal/capita/day,551.59
United States of America,Soyabean Oil,2020,kcal/capita/day,336.62
United States of America,Groundnut Oil,2010,kcal/capita/day,4.66
United States of America,Groundnut Oil,2011,kcal/capita/day,4.59
United States of America,Groundnut Oil,2012,kcal/capita/day,4.63
United States of America,Groundnut Oil,2013,kcal/capita/day,4.57
United States of America,Groundnut Oil,2014,kcal/capita/day,4.63
United States of America,Groundnut Oil,2015,kcal/capita/day,5.06
United States of America,Groundnut Oil,2016,kcal/capita/day,5.92
United States of America,Groundnut Oil,2017,kcal/capita/day,5.21
United States of America,Groundnut Oil,2018,kcal/capita/day,4.54
United States of America,Groundnut Oil,2019,kcal/capita/day,5.57
United States of America,Groundnut Oil,2020,kcal/capita/day,4.7
United States of America,Sunflowerseed Oil,2010,kcal/capita/day,5.54
United States of America,Sunflowerseed Oil,2011,kcal/capita/day,5.08
United States of America,Sunflowerseed Oil,2012,kcal/capita/day,5.79
United States of America,Sunflowerseed Oil,2013,kcal/capita/day,5.18
United States of America,Sunflowerseed Oil,2014,kcal/capita/day,5.38
United States of America,Sunflowerseed Oil,2015,kcal/capita/day,5.82
United States of America,Sunflowerseed Oil,2016,kcal/capita/day,5.09
United States of America,Sunflowerseed Oil,2017,kcal/capita/day,5.34
United States of America,Sunflowerseed Oil,2018,kcal/capita/day,5.53
United States of America,Sunflowerseed Oil,2019,kcal/capita/day,4.99
United States of America,Sunflowerseed Oil,2020,kcal/capita/day,4.43
United States of America,Rape and Mustard Oil,2010,kcal/capita/day,44.11
United States of America,Rape and Mustard Oil,2011,kcal/capita/day,43.91
United States of America,Rape and Mustard Oil,2012,kcal/capita/day,43.53
United States of America,Rape and Mustard Oil,2013,kcal/capita/day,44.63
United States of America,Rape and Mustard Oil,2014,kcal/capita/day,51.41
United States of America,Rape and Mustard Oil,2015,kcal/capita/day,52.38
United States of America,Rape and Mustard Oil,2016,kcal/capita/day,54.08
United States of America,Rape and Mustard Oil,2017,kcal/capita/day,54.96
United States of America,Rape and Mustard Oil,2018,kcal/capita/day,49.1
United States of America,Rape and Mustard Oil,2019,kcal/capita/day,52.51
United States of America,Rape and Mustard Oil,2020,kcal/capita/day,45.56
United States of America,Cottonseed Oil,2010,kcal/capita/day,21.66
United States of America,Cottonseed Oil,2011,kcal/capita/day,21.75
United States of America,Cottonseed Oil,2012,kcal/capita/day,21.49
United States of America,Cottonseed Oil,2013,kcal/capita/day,21.32
United States of America,Cottonseed Oil,2014,kcal/capita/day,16.64
United States of America,Cottonseed Oil,2015,kcal/capita/day,12.83
United States of America,Cottonseed Oil,2016,kcal/capita/day,14.8
United States of America,Cottonseed Oil,2017,kcal/capita/day,15.6
United States of America,Cottonseed Oil,2018,kcal/capita/day,11.93
United States of America,Cottonseed Oil,2019,kcal/capita/day,13.6
United States of America,Cottonseed Oil,2020,kcal/capita/day,6.94
United States of America,Palmkernel Oil,2010,kcal/capita/day,1.19
United States of America,Palmkernel Oil,2011,kcal/capita/day,1.18
United States of America,Palmkernel Oil,2012,kcal/capita/day,1.18
United States of America,Palmkernel Oil,2013,kcal/capita/day,1.17
United States of America,Palmkernel Oil,2014,kcal/capita/day,1.17
United States of America,Palmkernel Oil,2015,kcal/capita/day,1.19
United States of America,Palmkernel Oil,2016,kcal/capita/day,1.21
United States of America,Palmkernel Oil,2017,kcal/capita/day,1.32
United States of America,Palmkernel Oil,2018,kcal/capita/day,1.17
United States of America,Palmkernel Oil,2019,kcal/capita/day,1.13
United States of America,Palmkernel Oil,2020,kcal/capita/day,2.07
United States of America,Palm Oil,2010,kcal/capita/day,0
United States of America,Palm Oil,2011,kcal/capita/day,0
United States of America,Palm Oil,2012,kcal/capita/day,0
United States of America,Palm Oil,2013,kcal/capita/day,0
United States of America,Palm Oil,2014,kcal/capita/day,0
United States of America,Palm Oil,2015,kcal/capita/day,0
United States of America,Palm Oil,2016,kcal/capita/day,0
United States of America,Palm Oil,2017,kcal/capita/day,0
United States of America,Palm Oil,2018,kcal/capita/day,0
United States of America,Palm Oil,2019,kcal/capita/day,0
United States of America,Palm Oil,2020,kcal/capita/day,0
United States of America,Coconut Oil,2010,kcal/capita/day,6.53
United States of America,Coconut Oil,2011,kcal/capita/day,6.56
United States of America,Coconut Oil,2012,kcal/capita/day,6.49
United States of America,Coconut Oil,2013,kcal/capita/day,6.41
United States of America,Coconut Oil,2014,kcal/capita/day,6.87
United States of America,Coconut Oil,2015,kcal/capita/day,6.46
United States of America,Coconut Oil,2016,kcal/capita/day,6.18
United States of America,Coconut Oil,2017,kcal/capita/day,5.88
United States of America,Coconut Oil,2018,kcal/capita/day,6.01
United States of America,Coconut Oil,2019,kcal/capita/day,6.28
United States of America,Coconut Oil,2020,kcal/capita/day,4.95
United States of America,Olive Oil,2010,kcal/capita/day,21.34
United States of America,Olive Oil,2011,kcal/capita/day,22.36
United States of America,Olive Oil,2012,kcal/capita/day,24.42
United States of America,Olive Oil,2013,kcal/capita/day,22.07
United States of America,Olive Oil,2014,kcal/capita/day,23.33
United States of America,Olive Oil,2015,kcal/capita/day,23.42
United States of America,Olive Oil,2016,kcal/capita/day,23.46
United States of America,Olive Oil,2017,kcal/capita/day,23.51
United States of America,Olive Oil,2018,kcal/capita/day,23.64
United States of America,Olive Oil,2019,kcal/capita/day,26.21
United States of America,Olive Oil,2020,kcal/capita/day,29.03
United States of America,Maize Germ Oil,2010,kcal/capita/day,56.29
United States of America,Maize Germ Oil,2011,kcal/capita/day,56.89
United States of America,Maize Germ Oil,2012,kcal/capita/day,55.07
United States of America,Maize Germ Oil,2013,kcal/capita/day,53.51
United States of America,Maize Germ Oil,2014,kcal/capita/day,53.52
United States of America,Maize Germ Oil,2015,kcal/capita/day,55.12
United States of America,Maize Germ Oil,2016,kcal/capita/day,56.06
United States of America,Maize Germ Oil,2017,kcal/capita/day,56.97
United States of America,Maize Germ Oil,2018,kcal/capita/day,58.58
United States of America,Maize Germ Oil,2019,kcal/capita/day,54.67
United States of America,Maize Germ Oil,2020,kcal/capita/day,48.77
United States of America,"Oilcrops Oil, Other",2010,kcal/capita/day,6.12
United States of America,"Oilcrops Oil, Other",2011,kcal/capita/day,6.51
United States of America,"Oilcrops Oil, Other",2012,kcal/capita/day,6.6
United States of America,"Oilcrops Oil, Other",2013,kcal/capita/day,7.92
United States of America,"Oilcrops Oil, Other",2014,kcal/capita/day,7.84
United States of America,"Oilcrops Oil, Other",2015,kcal/capita/day,6.52
United States of America,"Oilcrops Oil, Other",2016,kcal/capita/day,7.02
United States of America,"Oilcrops Oil, Other",2017,kcal/capita/day,6.04
United States of America,"Oilcrops Oil, Other",2018,kcal/capita/day,6.78
United States of America,"Oilcrops Oil, Other",2019,kcal/capita/day,21.61
United States of America,"Oilcrops Oil, Other",2020,kcal/capita/day,242.3
